date,holiday
26-Jan-2024,Republic Day
08-Mar-2024,Mahashivratri
25-Mar-2024,Holi
29-Mar-2024,Good Friday
11-Apr-2024,Id-Ul-Fitr (Ramadan Eid)
17-Apr-2024,Shri Ram Navmi
01-May-2024,Maharashtra Day
17-Jun-2024,Bakri Id
17-Jul-2024,Moharram
15-Aug-2024,Independence Day/Parsi New Year
02-Oct-2024,Mahatma Gandhi Jayanti
01-Nov-2024,Diwali Laxmi Pujan
15-Nov-2024,Gurunanak Jayanti
25-Dec-2024,Christmas
26-Feb-2025,Mahashivratri
14-Mar-2025,Holi
31-Mar-2025,Id-Ul-Fitr (Ramadan Eid)
10-Apr-2025,Shri Mahavir Jayanti
14-Apr-2025,Dr. Baba Saheb Ambedkar Jayanti
18-Apr-2025,Good Friday
01-May-2025,Maharashtra Day
15-Aug-2025,Independence Day / Parsi New Year
27-Aug-2025,Shri Ganesh Chaturthi
02-Oct-2025,Mahatma Gandhi Jayanti/Dussehra
21-Oct-2025,Diwali Laxmi Pujan
22-Oct-2025,Balipratipada
05-Nov-2025,Prakash Gurpurb Sri Guru Nanak Dev
25-Dec-2025,Christmas
26-Jan-2026,Republic Day
03-Mar-2026,Holi
27-Mar-2026,Ram Navami
31-Mar-2026,Mahavir Jayanti
03-Apr-2026,Good Friday
14-Apr-2026,Dr.Baba Saheb Ambedkar Jayanti
01-May-2026,Maharashtra Day
27-May-2026,Bakri Id / Eid ul-Adha
26-Jun-2026,Muharram
14-Sep-2026,Ganesh Chaturthi
02-Oct-2026,Mathatma Gandhi Jayanti
20-Oct-2026,Dasara
09-Nov-2026,Diwali-Balipratipada
24-Nov-2026,Guru Nanak Jayanti
25-Dec-2026,Christmas
26-Jan-2027,Republic Day
06-Mar-2027,Maha Shivaratri
10-Mar-2027,Id-ul-Fitr (Ramzan ID)
22-Mar-2027,Holi
26-Mar-2027,Good Friday
14-Apr-2027,Dr.Baba Saheb Ambedkar Jayanti
15-Apr-2027,Ram Navami
19-Apr-2027,Mahavir Jayanti
01-May-2027,Maharashtra Day
17-May-2027,Bakri Id / Eid ul-Adha
15-Jun-2027,Muharram
15-Aug-2027,Independence Day
04-Sep-2027,Ganesh Chaturthi
02-Oct-2027,Mathatma Gandhi Jayanti
10-Oct-2027,Dasara
29-Oct-2027,Diwali-Balipratipada
14-Nov-2027,Guru Nanak Jayanti
25-Dec-2027,Christmas
